title,url,source,scrape_date
Skip to main content,https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs,UVA Student Jobs,2025-03-29 16:10:37.313483
![careers,https://uva.wd1.myworkdayjobs.com/UVAStudentJobs/assets/logo,UVA Student Jobs,2025-03-29 16:10:37.313483
Facility Operations Assistant – Outdoor Support (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Facility-Operations-Assistant---Outdoor-Support--Student-Wage-_R0071193,UVA Student Jobs,2025-03-29 16:10:37.313483
Karsh Institute of Democracy Research Assistant - Hybrid Position (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Karsh-Institute-of-Democracy-Research-Assistant---Hybrid-Position--Student-Wage-_R0070934,UVA Student Jobs,2025-03-29 16:10:37.313483
Office Assistant (Student Wage) Federal Work Study,https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Office-Assistant--Student-Wage--Federal-Work-Study_R0063567,UVA Student Jobs,2025-03-29 16:10:37.313483
"Student Instructor Assistant (SIA), ARCH/GSVS 2150 GLOBAL SUSTAINABILITY (Student Wage)",https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Student-Instructor-Assistant--SIA---ARCH-GSVS-2150-GLOBAL-SUSTAINABILITY--Student-Wage-_R0064175,UVA Student Jobs,2025-03-29 16:10:37.313483
"Student Data Science Analyst (Federal Work Study, Student Wage)",https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Student-Data-Science-Analyst--Federal-Work-Study--Student-Wage-_R0068540-1,UVA Student Jobs,2025-03-29 16:10:37.313483
Community Resilience Research Assistant (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Community-Resilience-Research-Assistant--Student-Wage---Federal-Work-Study-Only-_R0070433,UVA Student Jobs,2025-03-29 16:10:37.313483
IEN Student Research Assistant (SRA) - Chesapeake Bay Stakeholder Engagement (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/IEN-Student-Research-Assistant--SRA----Chesapeake-Bay-Stakeholder-Engagement--Student-Wage-_R0067824,UVA Student Jobs,2025-03-29 16:10:37.313483
Undergraduate Student Teaching Consultants (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Undergraduate-Student-Teaching-Consultants--Student-Wage-_R0070022,UVA Student Jobs,2025-03-29 16:10:37.313483
Office Assistant (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Office-Assistant--Student-Wage-_R0070792,UVA Student Jobs,2025-03-29 16:10:37.313483
DCTI Assistant (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/DCTI-Assistant--Student-Wage-_R0070579,UVA Student Jobs,2025-03-29 16:10:37.313483
Sustainability Student Employee (Student Wage),https://uva.wd1.myworkdayjobs.com/en-US/UVAStudentJobs/job/Charlottesville-VA/Sustainability-Student-Employee--Student-Wage-_R0070268,UVA Student Jobs,2025-03-29 16:10:37.313483
